restaurant,review_date,traveler_type,review
食令Shabu,2025-08-01T00:00:00Z,Family,"The whole family came to celebrate my sister's 28th birthday dinner today, the atmosphere was great, and the service was great. There are also dishes for children, meat and seafood vegetables, etc. The ingredients are very fresh, but also the introduction of sausages, and more table service to help cook, very appreciative!"
食令Shabu,2024-01-01T00:00:00Z,Friends,"I think the restaurant here is delicious. The wagyu looks very fresh, and the fish soup is also delicious, especially their fish slabs and fish balls look delicious. Their sashimi with soft salmon and caviar is very high-end and delicious. I will definitely come again because it is very, very, very, very, very delicious."
食令Shabu,2023-08-01T00:00:00Z,Solo,"The environment is clean and tidy, and the lighting is moderate and appropriate, neither too dark nor too bright. The ingredients are fresh, and Wagyu or seafood, lobster, and crab are good choices. The service staff are friendly, and if you choose seafood, there will be tableside service to help cook it. If you go there for the first time, it is recommended to choose the 101 limited edition sea and land hot pot. The price is mid-to-high and there is almost no need to queue during weekdays."
食令Shabu,2023-10-01T00:00:00Z,Family,"The atmosphere is good~ If you want to come on your birthday, this is a good choice. If you check in, you can also get a handmade shrimp ball as a gift. If you bring children, the seats are quite spacious, so you don’t have to worry about not having a seat. If you come, please make a reservation first. We recommend the beef short rib set meal, which is affordable, hygienic and delicious! ! !"
食令Shabu,2025-09-01T00:00:00Z,Family,"Top-service hot tub, fresh and delicious ingredients, suitable for family meals, couples want to find a high-end restaurant date. The staff is kind, the introduction of the meal is very careful, will also help cook, not afraid of cooking their own hands and feet. Unfortunately, seafood will have seasonal supply problems, not every time, the recommended menu can be marked"
Din Tai Fung (Xinyi 1),2025-09-01T00:00:00Z,Family,Arrived early before hitting the alleys of yongkang st abit later on in the day to try the famous din tai fung.. Arrived around 10:30 roughly and only had to wait in line for around 20 minutes for two people where the lines were getting busy but moving forward at a good speed. Customer service was great when arriving on 2nd floor and a quick rundown with the menu and the instructions of the best way to try the bao's from a cheat sheet at the tables. Decent extensive menu ordered from QR code at the table picked a few items not wanting to over fill our appeitites before heading on the streets again. So got the pork & chicken xinglongbaos and pork buns follwed by the pork chop fried rice to be washed down by the most delicious golden lava buns after the other meals. Baos were nice didnt stick to the surfaces so it didnt rip when pulling with chop sticks and enjoying the flavour of both the chicken and pork before using the recommended of the ginger/vinegar/soy in the ginger dish..better meats then most places but just tastes the same after a while. Pork chop fried rice was nice a real good piece of succulent porkchop on top which was delicious and the rice was good and filling with the egg mixed in alot different to our westerners fried rice we get pack home. Star of the show was the dessert tho the golden lava buns if i knew now what i did then i wish i got a couple more delicious flavour leaving a taste in my mouth wanting more thinking about it! Deffiantly must get on the menu. Great staff always busy and working at good pace around the place and always offering to refill tea when its down to the lowest in the cup.. Expensive compared to most places due to its popularity maybe even abit of a tourist trap tho a fan faviroute with the locals cost 10.017TWD Inc the 10% service charge so around &$50-53AUD at the time. Good photo spot on the 1st floor when paying watching them prepare in the window for the days servings. Probs arrive early if you want to get in quicker pending how many people.also same shop abit futther down the road offering takeout only compared to the dine in option here
Din Tai Fung (Xinyi 1),2025-03-01T00:00:00Z,Couples,"We arrived at 11:30, you get a ticket and wait outside for your ticket to be called to get a seat. It was all very orderly and they have an electronic sign that displays the ticket, As we were early and only need a table for two the wait was only about 10 minutes, I noticed larger groups of people having to wait longer. The soup dumplings and crispy dumplings were excellent, thin skins with lovely pork and prawn fillings, Staff were friendly and attentive as our Chinese is limited to salutations. Service was fast and the restaurant was clean."
Din Tai Fung (Xinyi 1),2023-07-01T00:00:00Z,Solo,"This Taipei 101 Din Tai Fung location was packed by the time I recieved my waitlist number and I ended up waiting 70 minutes (about the time listed on the queue). I have been to many other Din Tai Fung locations in Taipei and have ordered to-go from this location on previous visits, however this time, I wanted to dine in. My main waiter was (English name) Elvis, and his service and the rest of the staff was excellent. I left something behind anmy meal d Elvis rushed it to me while I was at the check-out. While in line, I pre-ordered and one by one, my lunch came out, and everything was delicious. Recommend to order: Xiao Long Bao, Spicy Shrimp & Pork Dumplings Drunken Chicken Since Taipei 101 is a busy destination, the wait time is long on some days but it helps you build up an appetite. I love the food here and the service makes it special. Thank you, Elvis!"
Din Tai Fung (Xinyi 1),2025-04-01T00:00:00Z,Family,"Many years ago, we have been to Pan Bridge's Big Bang, we almost tried different colors, and the conclusion is that every dish is as fresh as water, whether it's a cage or a fried meal, it's all under the level, the taste of a single talk is not comparable to the street side, anyway the CP value is much higher than it, of course, the service of Big Bang is really good. Yesterday 2025/4/26 to Taipei 101, as always a lot of people are in line, we are a family dinner, but in the end, it is very disappointed, the quality of food has not changed, the price is expensive, the portion is small, the taste is good, the problem is not to eat, of course, the service of Taipei is good. Don't understand why so many guests eat fame?"
Din Tai Fung (Xinyi 1),2025-10-01T00:00:00Z,Family,"Delicate soup dumplings, flavorful broth, and lightning-fast service. Lines move quickly; photo menu and open kitchen make reordering irresistible. Great for sharing and sampling multiple fillings."
Din Tai Fung (Xinyi 1),2024-03-01T00:00:00Z,Friends,"We arrived at 5 pm to queue for a dinner table. Apparently we weren't early enough and we waited nearly 2 hours. Food ranged from ok to good. Not outstanding. We were ravenous so we were able to order a great variety of dishes. Must order dishes include siu long bao and beef noodles. Being a very busy restaurant, expect lots of noise and movement around you. After the long wait, our mobile phones were out of juice. We brought a charger but the restaurant refused to charge for us because there's an adapter attached to the non-Taiwanese plug. And no charging if you didn't bring your own charger. We are tourists so.... no recharging phones and no Google maps after that."
Din Tai Fung (Xinyi 1),2025-07-01T00:00:00Z,Friends,"Long waiting time of 80 minutes, but they were spot on. After 80 minutes we were called upon in mandarin and English. The food came fast after ordering and in portion, not all at the same time, which gave us time to eat and enjoy. Waiters were amazing, friendly and skilled. There was never a moment you yea cup was empty. Shout out to Ollie!"
Din Tai Fung (Xinyi 1),2024-08-01T00:00:00Z,Couples,"We have always loved the food from DTF but this branch had upped their game by also providing a professional service in addition to great food. The person managing the crowd 30 minutes before the restaurant opens spoke Japanese to us obviously he’s bilingual, very attentive making sure we had a menu and waiting number. Once inside all other staff were same- precise and quick. Ok obviously their xiaolong bao a must but another must is the cold marinated chicken in xiaoshing wine. You will thank me later."
Din Tai Fung (Xinyi 1),2024-11-01T00:00:00Z,Friends,We ended up here because we were desperately trying to find somewhere that could do gluten free. The server that looked after us was just brilliant- great English and great knowledge of the gluten status of the menu. You can see shy the place is so busy. In fact we visited on a Thursday evening and resolved to go back in the Friday but when we arrived the queue was 55 minutes long. It was also fascinating to see all those folks making dumplings through the glass wall of the kitchen. Well worth a visit.
Din Tai Fung (Xinyi 1),2023-05-01T00:00:00Z,Family,"Din Tai Fung is a Taiwanese restaurant chain most famous for its xiaolongbao (steamed pork dumplings). Although the 101 branch officially opens at 11am, the wait for a table at 10:45am is approximately 1 hour! Customers can pre-order their food online while waiting in the mall area. Servers are accommodating. Food is delivered by a meal-bot, which is very efficient. However, the poor quality definitely is not worth waiting for. Signature dishes are not impressive at all! The skin of the various xiaolongbaos is very thick and a tad bit dry. Noodles are lukewarm. The smooth and flavourful House Special Spicy Vegetable and Ground Pork Wontons (NT 180) is the only recommendable dish."
Din Tai Fung (Xinyi 1),2024-08-01T00:00:00Z,Friends,"If you’re unfamiliar with the concept of their seating arrangement, it is highly recommended that you read up on this so you will at least somewhat know what to expect when you arrive at the restaurant. First off, you request to be seated then you’ll be given a ticket with a QR code. This code gives you access to their menu. It is a good idea to order ahead so that when you finally are seated, then the wait won’t take you additional time. Our wait to be seated was around 44 minutes (which they announce through a numbering system) so while waiting, we went around nearby shops. There is incidentally a grocery just around the corner, it has a lot ode range of options (local and international) of food, fresh fruits, etc. Or visit the Taipei 101 gift shop just across the waiting area. Anyway, about the food, we had the usual xiao long bao, dumpling soup, fried rice. Very good food- tasty but not salty. The soup was quite flavorful. House tea is provided free of charge. The seating area is quite expansive, but the tables are a bit close to each other that you can hear the conversations of those next to you (and vice versa). It can get quite noisy if the place is full and with each and every table with guests who are talking among their respective party. Service was quite fast and very orderly. Settling the bill is Japanese style where you pay at the front (there is a separate counter for payment). It’s a must try restaurant but prepare to wait for a long period of time especially during peak hours."
Din Tai Fung (Xinyi 1),2024-10-01T00:00:00Z,Family,"I make it a point to visit every time I return to Taiwan—the food quality remains top-notch. This time, I saw robot assistants guiding guests to their seats and delivering meals! It made me so happy!"
Din Tai Fung (Xinyi 1),2023-10-01T00:00:00Z,Friends,"This a VERY popular restaurant in the lower level of Taipei 101 Tower. Despite the fact that it's quite vast inside, to avoid huge queues they have a waiting list, with numbers on a board and an estimated waiting time to be seated. When we went it was 2 hours! Our group managed to get one of their large private dining rooms, but still the wait time was 25 minutes. The food of various steamed dumplings is simply excellent - pork, chicken, fish, crab, vegetable etc + black tea + egg fried rice + soup + appetisers. The kitchen is glass-fronted/ open, so you can watch them making the thousands of littlre dumplings. Excellent food, excellent service and a real spectacle. Highly recommended."
Din Tai Fung (Xinyi 1),2025-05-01T00:00:00Z,Couples,"Great dim sum restaurant and all kinds of dishes from Chinese cuisine. Everything is perfect. Moderate price , the service is very professional ... maybe it lacks a smile but the staff is masked . It is a chain of restaurants there are very many throughout the city. Try it you will not be disappointed."
Din Tai Fung (Xinyi 1),2022-10-01T00:00:00Z,Not Identified,"We had been to DingTaiFeng in a couple of its California locations, all are good. But we hear the original DTF in Taipei is the best, so here we are. Visiting Taipei for a week and this is a top must-try. We came around 4:30p and waited about 10min, not bad at all. Once we got a number we were handed the menu with order sheet so by the time we got seated it was only a few minutes and steaming XLBs arrived at our table. We ordered two steamers of pork XLB, one crab, chili sauce shrimp dumplings, spicy cucumber appetizer, and a couple of desserts. Everything was delicious! The XLB was juicy and tender, yep tasted better than CA's, specifically the pork tasted better. My favorite was the chili sauce shrimp dumplings. dumpling skin was smooth and thin, chili sauce is not overly spicy either, very flavorful. The staff was attentive, waiters and waitresses were constantly checking on our table, removing empty plates, refilling tea, taking additional orders, etc. This location has three floors, general seatings are along narrow hallway, plus private rooms for large parties. Even though space is limited, I find their process and service super efficient without making guests feel rushed. We had a delicious meal and a great experience here. If you're a XLB lover, highly recommended."
A Point Steak & Bar,2024-09-01T00:00:00Z,Friends,"The steak quality is very good, the price is reasonable, and there is also the opportunity to enjoy Taipei Street View and 101 at the window location, Recommendation for those who want to enjoy steak at a reasonable price in Shinjuku District. In addition to the American Prime steak processed in a high-end Spanish oven, you can eat the main meal of dried beans, lamb beans, shrimp and more, and you can eat the double-person package!!!!"
A Point Steak & Bar,2023-10-01T00:00:00Z,Solo,"The evaluation said that the French fries are delivered, the environment is okay, and the view from the window is great, but the service is very ordinary, and every waiter is very impatient. It seems that there are not enough staff? The menu says that the set drinks can be exchanged for cocktails with a discount of 50 yuan, but in fact cocktails are no longer provided. The clerk did not take the initiative to explain, and the menu did not cover up the words. I only found out after asking, which was a bit surprising... appetizers, milkshakes, Personally, I feel that the soup is not proportional to the price. I hope that the main meal of steak later will be delicious."
A Point Steak & Bar,2025-10-01T00:00:00Z,Family,"The dining experience of Ebony steak is quite pleasant, the restaurant environment is elegant and comfortable, the attitude of the service staff is friendly and professional, it is appreciated. The steak is well-maintained, the meat is fresh and juicy, and the combination of dishes and sauce adds a leveling sense. The overall meal portion is moderate, both delicious and refined. From the opening to the end of the meal, you can feel the attention of the restaurant to the details, worth a visit and recommendation again."
A Point Steak & Bar,2025-04-01T00:00:00Z,Couples,"This restaurant is a great choice for celebrations and anniversaries! From the moment you enter the store, you can feel a warm and joyful atmosphere, gentle lighting and carefully arranged dining environment, so that you can immerse yourself in the pleasant feeling of celebration. The service staff is very kind and attentive, not only actively assist in taking photos, but will also carefully ask if there are special celebration needs, so that the whole meal experience is more divided! It is said that the kitchen here contains a million-level professional stoves that can precisely control the fire and lock the essence of the juice. Just thinking about the steak that you want to taste in your childhood - the perfect maturity of the outer flavoured flavoured, the purple and juicy inside, so you can't wait! Next time, make sure to bring friends and experience this high-quality banquet with a sense of ritual and delicious."
A Point Steak & Bar,2024-05-01T00:00:00Z,Couples,"The location is in Xinyi District, with convenient transportation, good atmosphere in the store, and friendly service staff. The steak is perfectly cooked and the food is delicious. There is a business lunch at noon on weekdays, which is very value for money! Recommended to everyone!"
A Point Steak & Bar,2025-02-01T00:00:00Z,Couples,"The dining environment at this restaurant is comfortable, and the staff is friendly and makes people feel welcome. The dishes are fresh and delicious, especially signature dishes, and the level of taste is rich, so that people can taste endlessly. The price is reasonable, the quantity is sufficient and the value is high. Overall, is a good place to visit again!"
A Point Steak & Bar,2025-09-01T00:00:00Z,Couples,"The service is very friendly, the meal is rich with high CP value! It is a meal package! There is also a business lunch on weekdays, and there is also a discount of 85 off the Moon Star! You can enjoy star food for thousands of dollars! Push"
A Point Steak & Bar,2024-02-01T00:00:00Z,Couples,"Good service and good food. Came here for dinner today. It’s for the Chinese New Year. The nature of spring wine is also anniversary. I think the lunch set meal is quite cost-effective. The portion of the beet salad is quite moderate. The bread can be refilled, it is quite soft and quite delicious. The decoration of the restaurant feels relatively traditional, maybe because it is country style with a bit of American style. The steaks are grilled over charcoal. There is the aroma of charcoal."
A Point Steak & Bar,2023-11-01T00:00:00Z,Couples,"The food at Alpen Steakhouse is delicious, the atmosphere is pleasant, and the service is excellent. Every bite of steak exudes a tantalizing aroma that is unforgettable. The dining environment feels comfortable and cozy, making the overall dining experience more enjoyable. The service attitude of the staff is very friendly and attentive, making customers feel at home. Overall, Alpen Steakhouse is a restaurant worth revisiting."
A Point Steak & Bar,2023-11-01T00:00:00Z,Couples,"The experience at Ebony Steakhouse and Tavern is a culinary journey. When we entered this charming restaurant, the first thing that struck us was the sophisticated interior and warm lighting that made us feel relaxed. There are many choices on the menu, but we decided to try the signature steak, which was grilled to perfection, extremely tender, and served with a well-prepared sauce. The service in the restaurant was also excellent, the waiter was warm and friendly and recommended a wonderful bottle of red wine that perfectly complemented our dishes. The whole dining process made us feel a high-quality dining experience, and Aipeng Steakhouse is definitely a place worth visiting again."
A Point Steak & Bar,2024-01-01T00:00:00Z,Couples,"Although the waiter recommended a three-point steak, I chose a five-point steak and it was no less good! After finishing the appetizers and before starting the main meal, a lemon smoothie is provided to take away the taste in your mouth. The music in the overall space is very comfortable and suitable for all ages."
A Point Steak & Bar,2024-05-01T00:00:00Z,Family,"In Taipei, the first choice Western restaurant for birthday celebrations is Aipeng. The service here is top notch and makes you feel right at home. The menu is extensive and varied, whether it's rib eye steak or lamb chops, there's something to satisfy your taste buds. The rib-eye steak is cooked to perfection, charred on the outside and tender on the inside, the meat is delicious and full of aroma; the lamb chops are tender and juicy, and are even more delicious when paired with the special sauce. The restaurant's atmosphere is elegant and comfortable, making it an ideal place to celebrate a birthday. Not only are the dishes top-notch, but the service is also attentive and thoughtful, making every guest feel at home. Dining here is undoubtedly a visual and taste feast."
A Point Steak & Bar,2023-08-01T00:00:00Z,Family,"2023.08.29 Today I came to Aipeng Steakhouse to celebrate my birthday with my family. The service staff had a good attitude, the dining atmosphere was very good, the food was delicious, and the price was very approachable compared with other steak restaurants. Highly recommended to anyone who wants to celebrate a birthday or have dinner with family and friends to dine here! 👍👍👍"
A Point Steak & Bar,2024-11-01T00:00:00Z,Family,The potato and steak CP value is above the level The salad leaves can be picked again Fresh cream in pumpkin sauce can be a little less Cream corn recommended to skip Overall good.
A Point Steak & Bar,2024-02-01T00:00:00Z,Family,"The environment is good and makes people feel very comfortable. The service staff is very good, very friendly and enthusiastic. The appetizer bread, smoked salmon and seafood soup are all very good, the pastry is amazing, my daughter loves it! The meal is delicious, but the steak is not hot enough. It can be reheated The service staff who ordered extra pasta specifically asked if the pepper should be removed and the doneness of the eggs, which was very considerate. My daughter liked it very much. The juice was delicious and the dessert was also delicious. I will come back in the future"
Host Shabu,2024-04-01T00:00:00Z,Couples,"I found the highly rated Shabu Shabu on the Internet and it is very convenient to book a table on opentable! The environment is spacious and comfortable! The different meat set meals we ordered were all of good quality, and the prices in this environment were not too bad, not too exaggerated! The location in the mall is also easy to find, and you can take a stroll to digest your food after eating!"
Host Shabu,2023-08-01T00:00:00Z,Family,"合‧shabu carefully pursues the essential taste of the ingredients. Every ingredient served on the table is carefully selected by the chef. Whether it is seafood, meat or vegetables, they are not only top-notch and fresh, but the most important thing is that the dining environment here is not only comfortable but also special. The cyclone design circulates very well and doesn’t leave much of a smell after you finish your meal! The service staff is kind and courteous, familiar with their menu, and the service is professional and neat. They also provide tableside service. In addition to boiling the seafood to the best doneness, they will also help to shell the seafood, allowing us to dine in the most relaxed and stress-free environment. . It is convenient for transportation. It is located in Bellavita Poly Plaza in the Xinyi Project District. It is two minutes away from the MRT City Hall Station. There is also a city government transfer station nearby, which shortens the distance from various counties and cities. Parking is also convenient. Restaurants You can also go to the nearby movies and shop in department stores before and after. High-priced Japanese shabu-shabu, based on the above reviews, location, service, decoration, meal content, and portion size, the price/performance ratio is reasonable! For me, it is a good restaurant with 4 stars (out of 5 stars). I have left a good impression on both visits. Friends who like hot pot can try this combination of top ingredients. It is a good restaurant suitable for the whole family to share!"
Host Shabu,2023-08-01T00:00:00Z,Family,"Delicious pot dishes are priced at a high unit price. If you want a different experience, better dining environment and service, high-end ingredients, and freshness, needless to say, in total, you can pay comfortably if you have time and money. , would be a good choice, and I often eat here with my family. I would like to recommend this restaurant to everyone."
Host Shabu,2025-09-01T00:00:00Z,Family,"The light is a bit dark but the atmosphere is good, the interior decoration is high-end, the meal is fresh, there is a special cooking pot service, but the staff in the table service crashed to hit, before placing the dishes in the pot was very careful, but this time the staff service is not ideal, the dishes in the pot are messy, although they do not affect the food and taste, but hope to improve staff education. After the reaction to change the service staff, cooking seafood service experience is great, the professionalism is enough, and the shrimp service is really excellent! Because today 9/13 is family birthday, hope to have a good and warm dinner, thank you for the service staff, thank you ~"
Host Shabu,2025-09-01T00:00:00Z,Family,"Today's meal experience is very good, the meal is not only refined, the taste is also good, the ingredients are fresh and well-maintained, each dish can feel the attention of the chef. Service staff are kind and carefully pay attention to every detail, so that the person is warm. The overall atmosphere is comfortable and comfortable, whether you are meeting with friends or eating alone, you can enjoy a pleasant time."
Host Shabu,2024-01-01T00:00:00Z,Couples,"The hot pot ingredients at this price are very exquisite. I have to say that the entire service is really considerate and the dining environment is comfortable. They will provide suitable suggestions when ordering, help and pay attention at any time during the meal, and even give a small piece of cake to the birthday girl. We ordered the beef short ribs, which were beautifully oiled and tasted delicious! ; The scallops are delicious; the soup has a light taste, which can better taste the deliciousness of the food!"
Host Shabu,2025-11-01T00:00:00Z,Family,"Eat used to regular guests is delicious! The most visited stove shop in winter~ Seafood is very fresh, and seafood is still alive. Varieties are very diverse, the quality of meat is also very stable, Interior design is very characteristic, so that you feel comfortable and relax and good privacy. Since the opening of the store has been a loyal customer, overall it is worth visiting, friends family dinner and couple dating are very suitable!!!"
Host Shabu,2023-09-01T00:00:00Z,Family,"There are a lot of diversified dishes to choose from, the service staff are friendly and friendly, the private room environment is clean and quiet, and the toilets are also very clean. It’s worth it if you come to Xinyi District for family dinners, friends gatherings, lovers’ dates, or celebration banquets. It’s worth it for a long time. Booking a private room once will make you feel more comfortable and private after the meal. It is worth recommending to everyone."
Host Shabu,2023-09-01T00:00:00Z,Couples,"The environment in the Lady Department Store is very good. There is natural light on top. The ingredients are high quality. We ordered the Wagyu beef set meal and the American beef short rib set meal. The appetizers in the set meal were also very sincere. The salmon roe and yam service was also attentive. From the introduction menu, the dishes were served without disturbing the guests too much. But I can pay attention to the needs of customers. Generally speaking, it is recommended to go shopping and have a meal."
Host Shabu,2024-04-01T00:00:00Z,Couples,"This hot pot restaurant offers a great value for money dining experience. The dishes are fresh and varied, the quality of the meat is excellent, and the soup base is rich in flavor and unforgettable. The dining environment is clean and comfortable, and the service is attentive and friendly. The price is affordable and makes people feel that it is worth the money. It is not an exaggeration to give it a 9-point rating. Whether you are having a dinner with friends or a family gathering, this is a good choice and highly recommended."
Host Shabu,2025-09-01T00:00:00Z,Couples,"Servants are kind and attentive The interior decor is refined, it is a textile dining environment The ingredients are fresh, seafood live jumping, don't be afraid not to cook, someone will help you to handle well - Not only the top ingredients, the environment, the service is also very attentive, it is definitely the first choice to enjoy the food!"
Host Shabu,2025-07-01T00:00:00Z,Friends,"Come to Taipei must eat one of the potatoes, ingredients fresh, Seafood shrimp on the table while still jumping alive, Japan and cattle also greatly pushed! The flowers are softly distributed, the entrance is easy, and there are many drinks to choose from."
Host Shabu,2023-08-01T00:00:00Z,Friends,"Finally got a chance to eat at Hermès in the hot pot world! ! This is my first time to eat top hot pot. The waiter is very professional and will help cook the ingredients. The vegetable plate is very fresh, and the seafood and beef appetizers are refreshing and delicious! Each location has similar independent partitions, providing privacy, which is very suitable for friends to gather for dinner! Beautiful environment, looking forward to visiting again in the future"
Host Shabu,2023-08-01T00:00:00Z,Couples,"The meal time is Valentine's Day, and as soon as you enter the store, you can feel the aroma of the pot. The lighting and atmosphere are top-notch, and the menu includes meat and seafood. The price is on the high side but it's in line with the market and the ingredients are genuine. The set meal comes with appetizers, desserts and porridge cooking services after hot pot. If you order seafood, there is also a dedicated shelling service. Overall, it is highly recommended to those who want to celebrate. I give it a nine out of ten points."
Host Shabu,2024-04-01T00:00:00Z,Family,"The ingredients are very fresh, I recommend ordering beef and seafood! The mixed dishes cooked in the hot pot are also delicious. One person can eat two bowls. The price is about 1500-2000 yuan per person. The desserts after the meal are also delicious. It is very suitable for couples or family and friends to gather for dinner. The waiters are also very kind. ! In addition, children will receive free rice balls when they come!"
Yen Chinese Restaurant,2025-04-01T00:00:00Z,Family,"Taiwan, known for its legendary culinary scene, has amazing food for every budget and preference. Yen, located within the W Taipei, is a solid choice for people wanting to try something out of the ordinary Chinese, yet remains true to its traditional roots. I curated the set menu myself for our family, and couldn't be happier with every single dish. The Peking Duck is very well prepared, rivals the one at Le Palais Taipei, and many high caliber, Michelin star worth establishments around the world. The staff hand carves the duck and hand wrap each piece for us. One particular incident I remembered from this meal was during the carving the chef accidentally dropped a piece of the duck onto the floor. (I've never seen this happen in my life) He then went back to the kitchen, and returned with a single piece of duck to add it into our dish to compensate. I thought that was...interesting. Although all the dishes were amazing, the particularly special dishes for me included the taichi crab steamed egg, the pepper fried dragon tiger grouper, and the king crab rice soup. The taichi crab steamed egg is perhaps the best chawanmushi/steam egg I have ever enjoyed in my life. they utilized the crab innards for the yellow side, and crab meat for the white side, separated with a green chain of chopped zucchini, all set on top of a silky smooth, crab dashi infused steamed egg. The result is a work of art that contains multiple layers of flavoring, intense and light, depending on the side of the dish you are eating. The dragon tiger grouper is typically steamed. The chef chooses deep fry means he is quite confident he isn't going to overdo it, and he did just that. The fried coating is thin and not overpowering, enables me to taste the fish's freshness, but at the same time, flavored with multiple layers of Chinese pepper corn, weaving numbing and spicy sensation velvety together. The king crab rice soup has a bit of a theatrics to it. Named after China's ancient beauty Xishi, the dish comes to the table with the broth and rice separated. The rice has both regular and rice crispies. When they pour the king crab bisque into the hotpot containing the rice, steam rises and rice crackle, with the steam meant to represent Xishi enjoying her bath. The dish had such an intense king crab aroma and flavor, made it irresistible to be licked clean. YEN in W Taipei has taken Chinese cuisine to a new level, by maintaining their traditional flavors and turn them into work of art. I highly recommend anyone to give it a try, you won't be disappointed."
Yen Chinese Restaurant,2022-11-01T00:00:00Z,Not Identified,"The staff at YEN were so friendly and attentive. On a recent trip, I dined alone for both lunch and dinner. From my experience, most restaurants don't treat solo diners well and relegate them to some tiny corner of the restaurant. But not here. They sat me at a nice window seat and gave me all the attention that any diner would appreciate. They were super attentive, friendly and just overall fantastic. I don't think I could have asked for better servers and host. My server (a young man with red/orange dyed hair) was very accommodating and professional. I would go back just for the super service. But, I would return for the food. The food was delicious, very well presented. I chose a prix fixe for lunch which was very reasonable for about $50, and for dinner I had their famous Kao Ya (roast duck), bbq pork belly, and tiger prawns. It was a lot of food but I just had to try them. They were super delicious! And honestly, for the ambience, service, and food the price was really great. I would return to YEN on my next trip back to Taipei."
